Res_geo_unit,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Trip_Weight,HH_PNR,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
1,0.04752098340725631,0.007407814584142928,0.2657618027339564,0.09957244657777486,0.5797369526968695,77.41333650489602,591,7.784,2.069,0.375
10,0.04445338157050962,0.006834523908018801,0.49372576216212744,0.12292755749253961,0.3320587748668045,75.71671161857144,410,8.093,3.996,0.56
101,0.006198374556810142,,0.7190543560467461,0.02094463320328618,0.25380263619315757,79.80113460989315,504,20.677,14.868,0.834
102,0.0011290450414619183,0.008001148612744773,0.6780787772320719,0.037285162343359116,0.27550586677036215,66.79155573799716,380,16.054000000000002,10.886000000000001,0.855
105,0.0045310658169086596,0.006557382361425972,0.5014809394998746,0.05479412017917527,0.4326364921426155,74.25327257891277,822,15.259,7.652,0.612
106,0.00505826577283953,0.0005519696110931233,0.6194798329547819,0.04508013953945071,0.3298297921218347,70.71429592477304,774,17.495,10.838000000000001,0.729
107,0.0020828227883992814,0.0005569964473000994,0.6078378980497383,0.04334478819571546,0.3461774945188468,73.64084080940181,915,16.692,10.146,0.775
11,0.0297060535946596,0.0019057902755684694,0.387069890453111,0.11555137544895139,0.46576689022770945,92.20060797280163,557,8.015,3.102,0.498
110,0.010096738946668639,0.002464394399343655,0.4912642894877815,0.038521005445978036,0.45765357172022814,73.664443969056,667,17.911,8.799,0.715
111,0.010970344344953708,0.007894108294751352,0.48361233125362396,0.03851714074795876,0.45900607535871224,79.82638176369393,410,20.054000000000002,9.698,0.675
112,0.005463274360731104,0.000573085343228145,0.6594420776731006,0.02455564512746791,0.30996591749547237,75.22749016876924,405,22.993000000000002,15.163,0.884
115,0.03240920483235072,0.002170669975626688,0.6533122085267878,0.026678930962905564,0.2854289857023292,73.650652468176,727,13.272,8.671,0.809
116,0.00978134213059844,0.0026917137812180886,0.777287871837513,0.009092865177954214,0.20114620707271616,65.68047597823204,407,15.813,12.291,0.915
117,0.008035579784585285,0.002234681947930904,0.7220243938430297,0.01489076048005471,0.2528145839443994,77.12937943375564,479,22.254,16.068,0.895
118,0.002446690634925434,0.0007437387671123718,0.571980846559071,0.01805192747020177,0.40677679656868954,78.22135074435164,507,18.885,10.802,0.819
119,0.02109731736788826,0.002001790077075699,0.6912472438075149,0.014310962124540165,0.27134268662298106,81.75279895019193,536,22.214000000000002,15.355,0.792
12,0.013049983313647448,0.004274885932793947,0.5674400086444443,0.07578211482467491,0.3394530072844394,68.45951621383682,560,10.123,5.744,0.668
120,0.02144407525003627,0.00013483217717273488,0.7246863605015709,0.010766099599551823,0.2429686324716684,69.21773219431779,595,24.504,17.758,0.885
122,,0.0013468152871862777,0.681635054058735,0.03389861238007574,0.2831195182740029,80.60593480696683,249,15.468,10.543000000000001,0.785
123,,,0.6372576646363639,0.05452480615366174,0.3082175292099744,77.68549471649769,230,12.761000000000001,8.132,0.75
125,0.021016303705127026,0.0004354109493833305,0.6120359877916526,0.06166217918817485,0.3048501183656623,75.56267666777158,415,11.389000000000001,6.97,0.633
126,0.006934892627898483,0.0005357589346680709,0.7468577975025609,0.03321975161564688,0.21245179931922561,66.45362403856792,668,16.426000000000002,12.268,0.811
127,0.002198479119063663,0.0015082299511197641,0.5430979436691687,0.04140237775918269,0.4117929695014651,75.7922352453125,386,15.449,8.39,0.564
128,,0.003365645327531527,0.682448737456808,0.04935143735459693,0.2648341798610635,71.87982926607515,501,15.921000000000001,10.865,0.78
129,0.004259088024106681,0.0005083468370807226,0.6707248240877813,0.031751747255940696,0.29275599379509054,76.1015670644241,683,17.244,11.566,0.762
13,0.022201862076139296,0.003711126631792533,0.5559437477578579,0.07068716534951892,0.3474560981846913,73.42659737953552,414,9.259,5.148,0.696
14,0.029317824128430828,0.004210396725365845,0.49647926984426555,0.09416282300295258,0.3758296862989852,84.01979098192754,774,9.363,4.649,0.627
15,0.005472906441862189,0.010715616882528757,0.44380622010133675,0.06573672251074991,0.4742685340635223,76.76259394604331,561,10.509,4.664,0.496
16,0.007224949170077474,0.007169269186016686,0.34268241989001086,0.07797423072002617,0.5649491310338688,81.82987043884151,607,9.759,3.344,0.433
17,0.01501918785699191,0.005462221305688857,0.4746311960940447,0.07998814707356541,0.4248992476697091,83.53963300718809,611,9.715,4.611,0.576
18,0.010468856028252357,0.004870446579940128,0.4116154279604178,0.11487351754111903,0.4581717518902707,83.38796337291667,753,7.44,3.0620000000000003,0.566
19,0.004637319257482608,0.002800649425756302,0.4655726073239167,0.11020034074501328,0.4167890832478311,77.626367987351,353,8.036,3.741,0.674
2,0.020012298880559228,0.009602401365982186,0.33253608226650383,0.11416944599599163,0.5236797714909631,61.202380632016464,268,9.148,3.0420000000000003,0.416
20,0.011835555716134,0.003754770838821453,0.4569792720344992,0.09337188634196761,0.4340585150685779,74.26087057541126,521,8.855,4.047,0.522
21,0.01721179126301508,0.0023630461005609733,0.5577519820651211,0.05228692963851457,0.3703862509327884,71.25937912089405,2070,11.656,6.501,0.724
22,0.013126656991316259,0.004182613804265864,0.6077989646260165,0.037672552905476296,0.3372192116729251,65.28489818608507,708,12.443,7.563,0.768
23,0.02118493905358058,0.0010363479874161536,0.7414501171296408,0.026022625565481627,0.21030597026388084,64.44271306703412,405,13.606,10.088000000000001,0.942
24,0.005736255171593336,0.0008611222887874654,0.7057443316213805,0.019084160185850494,0.26857413073238817,69.42475023043903,466,16.352,11.540000000000001,0.841
25,0.02945062371313968,0.003471914693840739,0.5267505982933994,0.059047715576162355,0.3812791477234578,73.98208706935829,1053,10.790000000000001,5.684,0.628
26,0.011010377943529463,0.006579942414548291,0.40708179487954654,0.06249537037610557,0.5128325143862701,82.38935764708617,973,12.876,5.242,0.553
27,0.015388037400645826,0.0016239508779946677,0.4309798660835491,0.061021543840967495,0.4909866017968429,77.48583795063647,1067,12.303,5.3020000000000005,0.579
28,0.003546012374375397,,0.44317374430083695,0.0474117246754693,0.5058685186493184,73.25255642739893,834,13.864,6.144,0.635
29,0.026113330976154925,0.002447367542043625,0.3718928350515666,0.07913469820949251,0.5204117682207423,76.23470652125255,1145,10.529,3.916,0.484
3,0.031241209409131564,0.013103634213114857,0.332908233557526,0.0886936260050002,0.5340532968152274,89.48077517468599,718,8.108,2.699,0.388
30,0.014148754248033081,0.001286647885323662,0.4042846499028721,0.07355372456032373,0.5067262234034475,75.66771608892827,1336,11.688,4.7250000000000005,0.544
31,0.036623589496184564,0.0038269206759846595,0.6072710033673205,0.036891939338624245,0.315386547121886,70.1476417315123,595,15.005,9.112,0.754
32,0.035107078499323,0.0037238198075088915,0.4061767709606964,0.07172809010311854,0.4832642406293532,76.88773443625487,898,10.106,4.105,0.534
33,0.00486200646739695,0.002420987097219752,0.566776809891392,0.0521745229751898,0.3737656735688016,70.15143524690593,468,11.427,6.477,0.647
34,0.006833680105786598,0.01829875779301207,0.4396384425712783,0.041496222233165875,0.49373289729675723,58.440449998371896,410,12.206,5.3660000000000005,0.583
35,0.02408121761801735,0.009909849177358094,0.388592602981687,0.05891899888087122,0.5184973313420663,75.5226814486616,1552,9.664,3.755,0.535
36,0.01589435654598859,,0.4700954306311999,0.05554022938371262,0.4584699834390989,70.82216083706523,439,10.327,4.855,0.522
37,0.016318324955100934,0.007201147623305534,0.4282114229224112,0.061518496670127785,0.4867506078290545,71.24562828620053,918,9.467,4.054,0.554
38,0.01147098817518637,0.0014649757218698556,0.4613783688610588,0.0635273372393244,0.46215833000256046,72.72871320537074,588,8.913,4.112,0.631
39,0.007770041494297668,0.0003190403207688641,0.5580147227829753,0.0406501700472638,0.39324602535469455,68.04723389604763,688,12.621,7.043,0.695
4,0.009949931402307623,0.004084615000106199,0.5111765311371714,0.06874619272863434,0.40604272973178035,77.09003095118733,425,10.546,5.391,0.672
40,0.014861550665620888,0.010855396666614498,0.6395546711342042,0.04111473471463238,0.293613646818928,68.09352969527451,577,11.113,7.107,0.777
41,0.007731177817879059,0.0022431225949686054,0.4570810291695013,0.07633126096507936,0.4566134094525716,67.14128231510279,886,9.765,4.463,0.557
42,0.017899648537026632,0.0012420453303344846,0.486108261699459,0.05821061045474005,0.43653943397843986,78.31264671672872,1297,10.593,5.149,0.572
43,0.029553559489701408,0.002255921338885492,0.7414093118964971,0.022985323935401664,0.2037958833395144,64.29525641422451,731,15.106,11.200000000000001,0.896
44,0.0194577026835866,0.005090346692910303,0.5285423070496722,0.04582394471064973,0.4010856988631812,67.92012467259832,1798,11.041,5.836,0.683
45,0.0057067179537285476,,0.4329843943136176,0.04961600541526441,0.5116928823173894,72.11181719054348,516,11.55,5.001,0.602
46,0.011344687474815266,0.0008063736318050596,0.4197364746722044,0.05117764135075476,0.5169348228704206,75.74342968460658,823,11.554,4.8500000000000005,0.608
47,0.0060638270574976325,0.00967651200000424,0.48891061107467865,0.03379423175674285,0.4615548181110767,65.2224307575,488,14.005,6.847,0.659
49,0.01268951022282,0.006019398197402511,0.5354733694712024,0.03790924205552646,0.40790848005304864,70.40045599050428,1069,13.875,7.429,0.703
5,0.030981042257071906,0.006330022515935323,0.411927814549784,0.06728416163777548,0.4834769590394333,86.85797969640402,784,9.831,4.05,0.596
50,0.03677160284449698,0.0033368533653687716,0.6031168924924706,0.01177609422888589,0.34499855706877774,57.43088989698507,357,21.406,12.91,0.866
51,0.0034232306917560415,,0.43915038877706897,0.032199525293551044,0.525226855237624,71.54181809788177,234,11.942,5.244,0.801
52,0.027308871732899014,0.0023133223942736142,0.5235318191732168,0.042944722201969036,0.4039012644976415,72.65858575612663,638,11.451,5.995,0.682
53,,,0.8693497112635652,,0.13065028873643486,88.10671771105262,21,21.879,19.02,1.0
54,0.004627438213059287,0.001070866014402738,0.535235475752809,0.0574833747384397,0.40158284528128924,71.91652731778855,1169,11.63,6.2250000000000005,0.689
55,0.017224473883470006,0.0022319748890230894,0.6787383465162121,0.021262613612157418,0.28054259109913743,63.972492191556604,230,14.715,9.988,0.784
56,0.0023025441611223127,0.002762379010366312,0.5496507126365741,0.04832477172691183,0.39695959246502543,61.59372826394627,756,11.370000000000001,6.25,0.672
57,0.06723451148140037,,0.7529008883652201,0.00983152804867633,0.17003307210470328,24.973476319105263,39,20.150000000000002,15.171000000000001,0.897
58,0.011385985041674183,0.005968692762071358,0.626815106466805,0.0326421907387295,0.32318802499071986,67.80265260505556,624,13.034,8.17,0.725
59,0.014677425717379096,,0.7169694403625367,0.055604704111786724,0.21274842980829753,33.785714285714285,14,12.043000000000001,8.634,1.0
6,0.012260776709660904,0.004959162099178306,0.4359748873962971,0.06254678200688149,0.48425839178798225,71.74332422047826,597,13.44,5.86,0.681
61,0.0010386950963508683,0.0021133549660967755,0.7207275782789444,0.036352075071607336,0.23976829658700052,69.67241756886723,899,18.379,13.246,0.828
62,0.0012730291375693307,0.005050410996750117,0.5887709857296233,0.059760399707907065,0.3451451744281501,77.5627215456448,963,15.978,9.408,0.652
63,0.000306752765110753,0.0031257735214287206,0.6116933053849833,0.06361604438062551,0.3212581239478516,80.16085599315241,515,14.674,8.976,0.736
64,0.021014380009734136,0.0035655763974643743,0.49439476707853836,0.062448293363473184,0.41857698315078995,85.55223885012316,479,10.222,5.054,0.663
65,0.0016147906924158786,0.0038094568203715716,0.6954348212984685,0.03762620471281627,0.2615147264759277,82.55676468270833,527,14.366,9.991,0.817
66,0.00235206702645429,0.0005352633705106125,0.8405449316189993,0.016571364114023466,0.1399963738700124,68.16795368888197,328,15.555,13.075000000000001,0.951
67,0.005304013489749112,0.00012853926556394317,0.43105934727612366,0.0754508049152954,0.4880572950532679,76.606895964295,986,12.336,5.3180000000000005,0.642
68,0.0011962594191763903,,0.5228060311684722,0.04328430265597269,0.43271340675637865,76.24552963544089,593,13.248000000000001,6.926,0.678
69,0.02806387831236782,0.006760161200138985,0.608568178687312,0.029306439381062987,0.3273013424191184,66.98191748133824,486,16.832,10.243,0.824
7,0.04780170947409069,0.004422714493281791,0.43321705738463334,0.06075490199512525,0.45380361665286884,82.17376683587646,683,10.532,4.563,0.616
8,0.019171896879003728,0.005554006642242729,0.4804632081428679,0.08856625360366858,0.40624463473221717,79.82567501793929,699,8.496,4.082,0.63
84,0.0005703456240324393,,0.6152090595954659,0.04415712115316613,0.3400634736273356,70.69058037878182,638,14.403,8.861,0.735
85,0.001613070064691033,,0.6321926207426739,0.03759612521483507,0.32859818397780005,76.44935583252777,407,13.517,8.545,0.757
87,0.003099668404079312,,0.5370488976483233,0.039827320700431865,0.42002411324716543,76.00050178971215,899,15.162,8.143,0.758
88,0.0031664931646975376,4.3256341920399695e-05,0.5147901127056969,0.051912889870438114,0.4300872479172472,82.53981379206468,902,14.795,7.617,0.796
89,0.00885459145633442,0.0019150758912079085,0.7033788642006646,0.03356726700943092,0.252284201442362,65.0300893415342,576,16.196,11.392,0.887
9,0.021638657995234106,0.0065193541619265605,0.4618746321790989,0.08858140588221917,0.42138594978152133,85.64948680048495,679,10.011000000000001,4.624,0.619
91,0.0018557174456018375,0.0015732241520829062,0.40203153810827197,0.06781948759455604,0.5267200326994873,84.67836289632412,888,11.615,4.67,0.515
92,0.019127805626915084,0.0031713238577575522,0.5584102520736504,0.035739365079980316,0.3835512533616967,76.5787788992478,523,15.169,8.47,0.725
93,0.009628611538024287,0.0007146967700157814,0.6720370400917361,0.032113534861886374,0.2855061167383373,71.12943639494736,744,16.187,10.878,0.882
97,0.0048955041715052295,0.0009790738770038797,0.4942569345166092,0.0954412311136205,0.4044272563212612,81.20407546639753,529,12.345,6.101,0.616
98,0.004610362878565801,0.0005181688481384655,0.6070071147611495,0.05755122507556779,0.3303131284365784,74.02733780583056,1007,12.342,7.4910000000000005,0.754
99,0.013739094121715758,0.002471270359401932,0.5869930111531295,0.050272000923110766,0.3465246234426419,69.45547158587755,807,12.477,7.324,0.702
